region,year,min,nominal,max
UZB,2003,1300.0,1300.0,1500.0
VEN,2003,9100.0,11000.0,12000.0
VNM,2003,23000.0,26000.0,28000.0
BHS,2004,,,
BHR,2004,,,
BGD,2004,,,
BRB,2004,,,
KHM,2004,4700.0,5200.0,5700.0
CMR,2004,40000.0,44000.0,49000.0
CAN,2004,,,
CPV,2004,,,
PRK,2004,,,
COD,2004,37000.0,45000.0,53000.0
DNK,2004,,,
DJI,2004,,670.0,1100.0
GAB,2004,2500.0,3100.0,3900.0
GMB,2004,1500.0,2000.0,2600.0
GEO,2004,,,
DEU,2004,,,
GHA,2004,18000.0,22000.0,27000.0
IRL,2004,,,
ISR,2004,,,
ITA,2004,3800.0,6400.0,9800.0
JAM,2004,1600.0,2200.0,3200.0
LUX,2004,,,
MDG,2004,,720.0,980.0
MWI,2004,67000.0,72000.0,76000.0
MYS,2004,5100.0,5800.0,6500.0
NLD,2004,1000.0,1100.0,1200.0
NZL,2004,,,
NIC,2004,530.0,690.0,1000.0
NER,2004,2800.0,3500.0,4300.0
QAT,2004,,,
KOR,2004,,,
MDA,2004,920.0,1300.0,1700.0
ROU,2004,820.0,960.0,1100.0
LKA,2004,,,500.0
SDN,2004,4000.0,5000.0,6500.0
SUR,2004,,,
SWE,2004,,,
GBR,2004,,,
TZA,2004,100000.0,110000.0,120000.0
USA,2004,34000.0,41000.0,48000.0
URY,2004,,,
AUS,2005,510.0,760.0,1100.0
AUT,2005,,,
AZE,2005,610.0,910.0,1500.0
BHS,2005,,,
BHR,2005,,,
BGR,2005,,,
BFA,2005,6100.0,7600.0,9400.0
BDI,2005,4600.0,5600.0,6800.0
KHM,2005,4000.0,4500.0,4900.0
CUB,2005,850.0,1500.0,2300.0
CYP,2005,,,
CZE,2005,,,
PRK,2005,,,
FIN,2005,,,
FRA,2005,6100.0,7300.0,8800.0
GAB,2005,2300.0,2900.0,3700.0
GMB,2005,1500.0,2000.0,2700.0
IND,2005,,,
IDN,2005,,,
IRN,2005,3700.0,5600.0,8400.0
IRL,2005,,,
LBR,2005,3200.0,3700.0,4500.0
LBY,2005,,580.0,770.0
LTU,2005,,,
LUX,2005,,,
MMR,2005,20000.0,22000.0,25000.0
NAM,2005,12000.0,13000.0,14000.0
NPL,2005,3400.0,3800.0,4100.0
NLD,2005,1000.0,1100.0,1200.0
PHL,2005,910.0,1100.0,1300.0
POL,2005,,,
PRT,2005,,,
QAT,2005,,,
KOR,2005,,,
ZAF,2005,510000.0,530000.0,560000.0
SSD,2005,10000.0,14000.0,18000.0
ESP,2005,3500.0,4800.0,6000.0
LKA,2005,,,
UGA,2005,87000.0,97000.0,110000.0
UKR,2005,19000.0,22000.0,25000.0
ARE,2005,,,
GBR,2005,,,
ARG,2006,5100.0,6000.0,7500.0
ARM,2006,,,520.0
AUS,2006,560.0,820.0,1200.0
AUT,2006,,,
BWA,2006,15000.0,16000.0,17000.0
BRA,2006,18000.0,40000.0,58000.0
BRN,2006,,,
BGR,2006,,,
CRI,2006,,620.0,790.0
CIV,2006,31000.0,36000.0,42000.0
HRV,2006,,,
CUB,2006,940.0,1600.0,2500.0
SWZ,2006,14000.0,14000.0,15000.0
ETH,2006,19000.0,36000.0,63000.0
FJI,2006,,,
FIN,2006,,,
HND,2006,630.0,880.0,1200.0
HUN,2006,,,
ISL,2006,,,
IND,2006,,,
IDN,2006,,,
LVA,2006,,,520.0
LBN,2006,,,
LSO,2006,20000.0,23000.0,25000.0
LBR,2006,3100.0,3600.0,4400.0
MNE,2006,,,
MAR,2006,1000.0,1300.0,1800.0
MOZ,2006,96000.0,150000.0,240000.0
MMR,2006,19000.0,21000.0,23000.0
PRY,2006,940.0,1300.0,2400.0
PER,2006,3800.0,4500.0,5300.0
PHL,2006,1200.0,1400.0,1600.0
POL,2006,,,
SVK,2006,,,
SVN,2006,,,
SOM,2006,1200.0,1400.0,1700.0
ZAF,2006,490000.0,520000.0,550000.0
TUN,2006,,,
TUR,2006,,,
TKM,2006,,,
UGA,2006,88000.0,98000.0,110000.0
ALB,2007,,,
DZA,2007,510.0,810.0,1200.0
AGO,2007,20000.0,24000.0,30000.0
ARG,2007,5200.0,6100.0,7500.0
BTN,2007,,,
BOL,2007,800.0,1100.0,1400.0
BIH,2007,,,
BWA,2007,15000.0,16000.0,17000.0
BRA,2007,20000.0,42000.0,61000.0
COL,2007,7500.0,9600.0,12000.0
COM,2007,,,
COG,2007,5000.0,6000.0,7000.0
CRI,2007,,650.0,830.0
GNQ,2007,2500.0,3100.0,3800.0
ERI,2007,720.0,1000.0,1400.0
EST,2007,,,
SWZ,2007,13000.0,14000.0,15000.0
GUY,2007,,560.0,630.0
HTI,2007,8400.0,9500.0,11000.0
HND,2007,620.0,850.0,1200.0
HUN,2007,,,
KWT,2007,,,
KGZ,2007,580.0,580.0,580.0
LAO,2007,940.0,1000.0,1100.0
LVA,2007,,,530.0
MUS,2007,940.0,1200.0,1400.0
MEX,2007,,,
MNG,2007,,,
MNE,2007,,,
PAK,2007,9800.0,11000.0,13000.0
PAN,2007,,,
PNG,2007,2400.0,2700.0,3100.0
PRY,2007,870.0,1200.0,2200.0
SRB,2007,,,
SLE,2007,5600.0,6400.0,7400.0
